напиши sql запрос на создание таблицы nauka_2_1 и вставке данных. 
Колонки -        исследователи       техники        вспомогательный персонал        прочий персонал   всего
Строки - Годы -	2000	2005	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022  	2023  	2024 

Численность персонала – всего	887729	813207	736540	735273	726318	727029	732274	738857	722291	707887	682580	682464	679333	662702	669870	670614	675696
																	
в том числе:																	
																	
       исследователи	425954	391121	368915	374746	372620	369015	373905	379411	370379	359793	347854	348221	346497	340142	340666	338900	339104
																	
       техники	75184	65982	59276	61562	58905	61401	63168	62805	60441	59690	57722	58681	59557	60474	61369	62155	64426
																	
       вспомогательный персонал	240506	215555	183713	178494	175790	175365	173554	174056	171915	170347	160591	160864	158298	152066	154750	155084	156071
																	
       прочий персонал	146085	140549	124636	120471	119003	121248	121647	122585	119556	118057	116413	114698	114981	110020	113085	114475	116095
